transcript,summary
"#Person1#: Keith kitne saal ka hai? #Person2#: Woh 21 ka hai. James kitne saal ka hai? #Person1#: Woh Keith se ek saal bada hai, par woh chhota lagta hai. #Person2#: Tumhare father kaise hain? #Person1#: Woh theek hain. Unhone pichle hafte retirement liya. Unki zindagi mein naye mod aa rahe hain. Ab woh aaraam kar sakte hain aur apni retirement ka maza le sakte hain. #Person2#: Woh apne grandchildren ke saath zyada samay bita sakte hain. #Person1#: Oh, mujhe nahi lagta ki woh chahte hain. Woh duniya ke kai alag-alag deshon mein ghoomna chahte hain. #Person2#: Toh, woh ek zyada active retirement chahte hain. Accha idea hai! #Person1#: Tum apni budhape ko kaise bitaana chahte ho? #Person2#: Waise hi, shayad.",#Person1# aur #Person2# apne parivaar ke umron ke baare mein baat kar rahe hain. #Person2# ka father retirement ke baad duniya ghoomna chahte hain.
"#Person1#: Kya tum meri madad kar sakte ho? #Person2#: Sure. Kya hai? #Person1#: Kya tum store ja sakte ho? Humein kuch cheezein chahiye. #Person2#: Theek hai. Tumhe kya chahiye? #Person1#: Well, kya tum thoda sugar le aa sakte ho? #Person2#: Okay. Kitna? #Person1#: Ek chhoti bag. Mujhe lagta hai humein kuch oranges bhi chahiye. #Person2#: Kitne? #Person1#: Oh, chalo dekhte hain... Lagbhag chhe. #Person2#: Aur kuch? #Person1#: Haan. Humare paas doodh nahi hai. #Person2#: Theek hai. Tumhe kitna chahiye? Ek gallon? #Person1#: Nahi. Mujhe lagta hai aadha gallon kaafi hoga. #Person2#: Kya bas itna hi? #Person1#: Mujhe lagta hai haan. Kya tumne sab kuch yaad rakha? #Person2#: Haan. Woh chhoti bag sugar, chaar oranges, aur aadha gallon doodh. #Person1#: Kya tumhare paas kaafi paise hain? #Person2#: Mujhe lagta hai haan. #Person1#: Bahut dhanyavaad. Main iski kadar karta hoon.","#Person1# ne #Person2# se madad maangi. #Person2# ne maan liya aur ek chhoti bag sugar, chhe oranges, aur aadha gallon doodh kharidne mein madad ki."
"#Person1#: Kya main aapki madad kar sakta hoon? #Person2#: Haan. Maine apna resume pichle hafte ke end mein bheja tha. Main accounts assistant position ke liye apply kar rahi hoon. #Person1#: Kya aap apna naam bata sakti hain? #Person2#: Mera naam Judy Liao hai. Yeh L I A O se spell hota hai. #Person1#: Thik hai... Aur kya aapke paas apne application ke baare mein kuch specific questions hain? #Person2#: Nahi, zyada nahi. Main yahan aas-paas thi, aur bas yeh dekhna chahti thi ki kya aapne mera resume receive kiya hai. #Person1#: Oh, koi baat nahi. Thoda waqt dijiye, main check kar leti hoon. Judy Liao. Chaliye dekhte hain... Haan, yeh raha. Judy Liao. Humne aapka resume receive kar liya hai. #Person2#: Dhanyavaad. #Person1#: Kya aur kuch hai jismein main aapki madad kar sakta hoon? #Person2#: Haan, shayad. Newspaper mein ad mein likha tha ki aapko resume, cover letter, aur do recommendation letters chahiye the. Maine yeh sab envelope mein daal diya tha. Kya aur kuch bhejna chahiye? #Person1#: Nahi, yeh sab humein chahiye. Agar yeh sab included hai, toh yeh kaafi hai. #Person2#: Kya aapko pata hai ki interviews kab shuru honge? #Person1#: Mujhe iske baare mein zyada pata nahi. Lekin mujhe pata hai ki hum abhi bhi resumes receive kar rahe hain. Shayad ek ya do hafte baad woh applicants ko call karna shuru karenge. #Person2#: Samajh gayi. Toh, bahut bahut dhanyavaad aapki madad ke liye. Aap bahut helpful rahe hain. #Person1#: Agar aapke paas aur koi questions hain, toh aap kabhi bhi call kar sakti hain. #Person2#: Dhanyavaad. #Person1#: Dhanyavaad. Goodbye.","Judy Liao accounts assistant position ke liye apply kar rahi hai. Usne #Person1# se poocha ki kya unhone uska resume receive kiya hai, aur #Person1# ne uski madad ki check karne mein. #Person1# ne Judy ko bataya ki usse aur kuch bhejne ki zarurat nahi hai, aur ek ya do hafte baad shayad woh applicants ko call karna shuru karenge."
"#Person1#: Wah, dekho kitne saare ice cream ke options hain! #Person2#: Haan, yeh toh bahut saare options hain. Tumhara favorite kya hai? #Person1#: Mujhe chocolate wala sabse zyada pasand hai. #Person2#: Mujhe bhi chocolate pasand hai. #Person1#: Kya koi aisi ice cream hai jo tumhe pasand nahi hai? #Person2#: Mujhe sach mein koi bhi ice cream jo nuts ke saath ho, woh pasand nahi hai. #Person1#: Mujhe bhi kabhi woh pasand nahi aayi. #Person2#: Kya tumne kabhi garlic ice cream try ki hai? #Person1#: Yeh toh bilkul disgusting lagta hai! #Person2#: Haan, yeh tha. Aaj hum regular options hi choose karte hain.",#Person1# aur #Person2# alag-alag ice cream ke options ke baare mein baat kar rahe hain. Woh regular options choose karne ka decide karte hain.
"#Person1#: Kya yeh tumhare triplets hain? Yeh bahut khoobsurat hain! Maine dekha hai doosre babies jo unki umar mein sirf skin aur bones jaise the. Tumhe pata hai, yeh bilkul tum aur John ke jaise hain! Kya tum aur babies karne ka plan kar rahi ho? #Person2#: Apni zubaan kaat lo! Main toh already apne aakhri had par hoon. Kuch raaton main toh bilkul nahi sooti. John toh jaise ek log ki tarah so jaata hai jab babies cheekh rahe hote hain. #Person1#: Toh batao, labor aur delivery kaisi thi? #Person2#: Main nahi kahungi ki mujhe zindagi ka sabse accha waqt mila, par kam se kam sab kuch bina kisi dikkat ke hua. #Person1#: Toh bas thoda aur jhel lo. Bees saal baad, tumhe lagega ki yeh sab kuch karna bilkul worth tha!",#Person1# ne #Person2# se poocha ki kya woh aur babies karne ka plan kar rahi hai. #Person2# mana karti hai kyunki unhe toh unke cheekhne par bhi sohne ka time nahi milta.
"#Person1#: Toh kya tum humare saath kaam karne aaoge? #Person2#: Kya main apna green pad dobara istemal kar sakta hoon tumhe admire karne ke notes likhne ke liye? #Person1#: Humein is par negotiate karna padega. Yeh ek possibility hai. #Person2#: Tum mujhe miss karte ho, hai na? #Person1#: Apni kismet mat aazmao, Dave. #Person2#: Theek hai, main aa raha hoon. Main kab shuru karoon? #Person1#: Jaise hi tum yahan aa sakte ho. Hum tumhara intezaar karenge.","#Person1# ne Dave ko saath kaam karne ke liye bulaya, aur Dave ne maan liya."
"#Person1#: Hi, Mike. Kafi time se nahi dekha tumhe. Cathy kaise hai? #Person2#: Hum ab nahi mil rahe hain. #Person1#: Kya hua? Kya tum dono ka break up ho gaya? #Person2#: Haan. Main uski nagging se sick aur tired ho gaya tha. #Person1#: Oh, mujhe afsos hai. Shayad tum us moment mein bas emotional the. Kya tumhe lagta hai ki tum dono phir se saath aa sakte ho? #Person2#: Mujhe nahi pata. Bahar bahut saare fish hain! #Person1#: Oh, tum kitne dog ho!","Mike ne Cathy se break up kar liya. #Person1# ko afsos hai, par Mike wapas nahi aana chahta."
"#Person1#: Yeh seat kaise peeche karte hain? Mujhe pata hai kahin lever hoga. #Person2#: Tum kya kar rahe ho? #Person1#: Main dress ho raha hoon, aisa kya lag raha hai? #Person2#: Aisa lag raha hai jaise tum dress hone wale ho. Kya tumhe yaad nahi hai hum car mein hain aur raste par hain? #Person1#: Main ismein achha hoon. Koi bhi kuch nahi dekhega. #Person2#: Kya tum mazak kar rahe ho? Tum sirf logon ke dekhne se accident karwa doge! #Person1#: Theek hai, us service station par ruko aur main ladies' room mein dress ho jaungi. #Person2#: Yeh toh meri khushi hogi.","#Person1# car mein dress ho rahi hai, aur #Person2# use mana kar raha hai. #Person1# service station par dress hogi."
"#Person1#: Humein Air China ke counter par check in karna hai 30 minutes pehle take-off se, Joe. #Person2#: Haan, mujhe pata hai. Ticket par boarding time 17:05 likha hai, aur abhi 16:15 hai. Mujhe lagta hai humein kaafi time hai. #Person1#: Kya humein check in karte waqt apne ID cards dikhane honge? #Person2#: Haan. Yeh zaroori hai. #Person1#: Aur hamara luggage ka kya? #Person2#: Hum ise check karwa sakte hain aur chhote bags haath mein le ja sakte hain. Aur humein inspection ke liye har ek kholna padega. #Person1#: Kya wo sabhi passengers ko frisk karne wale hain? #Person2#: Mujhe lagta hai. Hum toh aaj plane par hijack nahi hone dena chahte.",#Person1# #Person2# se puchta hai ki jab wo Air China ke counter par check in karte hain toh unhe kya karna chahiye.
"#Person1#: Tumhe kis tarah ki music sunna pasand hai? #Person2#: Mujhe aisi music pasand hai jisme fast beat ho aur lively ho, jaise dance music. Tumhe pata hai, main har week disco jaata hoon. Kabhi kabhi toh bahut loud hota hai. Tum classical music pasand karte ho, hai na? #Person1#: Haan, mujhe pasand hai. Yeh mujhe bahut relaxing lagta hai. Main aksar shaam ko Mozart ya Bach sunta hoon jab din kaam karke thak jaata hoon. #Person2#: Mujhe yeh kehna padega ki mujhe kai classical music pieces pasand hain. Yeh modern dance music se definitely zyada sophisticated hai. #Person1#: Classical music tumhare dimaag ke liye achha hota hai. Research suggest karti hai ki yeh tumhare dimaag ko zyada active banata hai. Jo students classical music sunte hain padhai karte waqt, wo better perform karte hain. #Person2#: Really? Shayad mujhe classical music zyada sunni chahiye. Maine suna hai ki classical music sunne se stress kam hota hai. #Person1#: Haan. Isliye main shaam ko ise sunta hoon. Main aksar ise background music ke roop mein chalaata hoon jab main cooking ya ghar ke kaam kar raha hota hoon. #Person2#: Mere paas kuch classical music CD's hain. Mujhe tumhare lead ko follow karna chahiye aur apni brain power badhani chahiye. #Person1#: Tum internet par bhi bahut saari recordings dhoond sakte ho. Tum samples sun sakte ho aur agar pasand aaye toh bahut saste mein kharid sakte ho. #Person2#: Yeh achha idea hai. Tumhe bhi kuch music ke saath aisa karna chahiye. Tumhe kuch aisa mil sakta hai jo tumhe pasand aaye. Classical music tumhe clever bana sakta hai, lekin dance tumhe zyada lively aur khush bana sakta hai. #Person1#: Yeh sach hai. Yeh saaf hai ki jo log lively music sunte hain wo lively log hote hain. Music kisi vyakti ke feelings aur character ko influence kar sakta hai.","#Person2# ko dance music pasand hai jabki #Person1# ko classical music pasand hai. #Person1# #Person2# ko suggest karta hai ki wo zyada classical music sune kyunki yeh dimaag ko zyada active bana sakta hai aur stress ko kam kar sakta hai. #Person2# #Person1# ko batata hai ki classical music #Person2# ko clever banata hai, lekin dance #Person1# ko zyada lively aur khush banata hai."
"#Person1#: Tumne jitni bhi movies dekhi hain, unmein se kaunsi tumhari favorite hai? #Person2#: Mujhe kehna padega ki Superbad sabse best movie hai. #Person1#: Acha, kyun aisa sochte ho? #Person2#: Kyunki Superbad super funny hai. #Person1#: Tum jhoot nahi bol rahe, mujhe woh movie bilkul hilarious lagi. #Person2#: Mujhe nahi pata tha ki tumne Superbad dekhi hai pehle. #Person1#: Maine pehle din hi line mein lag kar dekha tha jab yeh release hui thi. #Person2#: Main poori movie ke dauran hansne se nahi rok paya. #Person1#: Main toh poore time hysterically hans raha tha; mere stomach muscles baad mein dard kar rahe the. #Person2#: Bilkul waise hi maine bhi mehsoos kiya. #Person1#: Maine jab yeh DVD par aayi tab li thi, kya tum aakar dekhna chahoge? #Person2#: Mujhe toh bahut pasand aayega.",#Person1# aur #Person2# dono ko Superbad funny lagti hai. Woh isse dekhte waqt hans nahi sakte. #Person1# ne #Person2# ko saath dekhne ke liye bulaya.
"#Person1#: Aaj Sunday hai. #Person2#: Haan, mujhe pata hai. #Person1#: Mujhe lagta hai humein aaj ghar saaf karna chahiye. Tumhara kya khayal hai? #Person2#: Oh, nahi. Humne toh pichle hafte kiya tha. #Person1#: Chalo yaar. Tum kya karna chahte ho? Kapde dhona ya ghar saaf karna? #Person2#: Main toh kapde dhona pasand karunga. #Person1#: Theek hai. Yeh raha laundry. #Person2#: Oh, Meri Bhagwan! Itna saara! #Person1#: Fikr mat karo. Main tumhe baad mein madad karunga.","#Person1# ghar saaf karne ka suggestion deta hai, aur #Person2# kapde dhone ka chunav karta hai."
"#Person1#: Excuse me, kya aap Central Park ja rahe hain? #Person2#: Haan, yeh sahi bus hai. #Person1#: Kya aap mujhe bata sakte hain jab main Central Park pahunchun? #Person2#: Chinta mat karo. Main stops announce kar dunga. #Person1#: (Kuch minute baad.) Kya mujhe agle stop par utarna chahiye? #Person2#: Nahi, chinta mat karo. Main aapko utara dunga jab aap wahan pahunch jaoge. #Person1#: Kya yeh lambi ride hai? #Person2#: Nahi, itni lambi nahi. Do aur stops hain, aur aap utar jaoge, sir. #Person1#: Thik hai. Mujhe pata hai. Shukriya. #Person2#: Koi baat nahi.",#Person1# ek bus le raha hai Central Park ke liye. #Person2# #Person1# ko batata hai kab utarna hai.
"#Person1#: Kya main aapka order le sakta hoon? #Person2#: Humne abhi tak decide nahi kiya. Kya aap humein thoda aur time de sakte hain? #Person1#: Haan, aap apna time le sakte hain. #Person2#: Kya humein kuch peene ko mil sakta hai? Humein do bottles beer chahiye. #Person1#: Theek hai. #Person2#: Kya aap humein aaj ke specials bata sakte hain? #Person1#: Aaj ka special steak hai. #Person2#: Hum yeh steak dinner lenge. #Person1#: Aap apne steak ke saath kya chahenge? #Person2#: Matar aur gajar. #Person1#: Samajh gaya. Dessert ke liye aap kya chahenge? #Person2#: Ice cream, please.","#Person1# ne #Person2# ko do bottles beer, ek steak dinner, aur ice cream order karne ke liye serve kiya."
"#Person1#: Jis jagah ke baare mein maine itna suna hai, woh Los Angeles hai. Wahan ka mausam kaafi achha hai. Saal bhar phool, saal bhar swimming. Tumhe kaisa lagta hai? #Person2#: Well, wahan ki beaches bahut khoobsurat hain. Lekin wahan ke log gande hawa se kaafi pareshan hain. Mera matlab hai, fog, smoke aur automobile exhaust ka combination. Wahan hawa itni nahi hai ki isse uda sake.",#Person2# #Person1# ko batata hai ki Los Angeles mein log gandi hawa se pareshan hain.
"#Person1#: Mr. White, main aapko yeh batana chahti hoon ki main company chhod rahi hoon. Yeh agle mahine ke shuruat se lagu hoga. #Person2#: Jessica, yeh sunke mujhe bahut afsos hua. Aap kyun ja rahi hain? #Person1#: Mujhe ek aur job offer hui hai jisme salary zyada hai. Aur isme promotion ka mauka bhi hai. #Person2#: Oh. Agar aap pehle mujhse baat karti, toh hum aapko raise de dete. #Person1#: Aap sach mein ek achhe employer hain, Mr. White, aur main bahut lucky hoon ki mujhe aap jaise boss mile. Lekin yeh nayi job mere interest training ke field mein hai. Yeh kuch hai jo main hamesha chahti thi. #Person2#: Thik hai, good luck, Jessica. Waise, agar aapko kabhi recommendation letter ki zarurat ho, toh main khushi se aapke liye ek likh dunga.",Jessica Mr. White ko batati hai ki woh chhod rahi hai kyunki usse ek aur job offer hui hai. Mr. White ko afsos hota hai lekin woh uske liye recommendation letter likhne ke liye tayaar hain.
"#Person1#: Yeh security check ka kya scene hai, Jimmy? Kya iska matlab hai ki bar ek dangerous jagah ho sakti hai? #Person2#: Nahi, bilkul nahi. Bas precaution ke liye. Isme chinta karne ki koi baat nahi hai. Kya tum yeh China mein nahi karte? #Person1#: Mujhe nahi pata. Shayad wahi. Actually, yeh mera pehla bar mein aana hai. #Person2#: Oh, toh mere liye yeh izzat ki baat hai ki main tumhare saath hoon. Ab mujhe samajh aa gaya hai ki tum bar ke baare mein itne curious kyun ho. Kya tumhe yeh jagah pasand hai? #Person1#: Haan, mujhe yeh jagah bahut pasand hai, khaas karke decoration. Bahut hi tasteful hai! #Person2#: Haan. Iske alawa, yahan ki asli khasiyat hai excellent drinks. Kya main tumhara ticket le sakta hoon? #Person1#: Yeh raha. Lekin, kis liye? Hum toh already andar hain. #Person2#: Well, ticket se tumhe ek free drink mil sakta hai. Tumhe kya chahiye? Orange juice? #Person1#: Haan, orange juice mere liye theek rahega. Lekin tum drink kaise le jaoge? Counter ke aas paas itna bheed hai. Tum toh hil bhi nahi sakte. #Person2#: Main tumhe dikhata hoon kaise. Bar tenders ko pata hota hai kiski baari hai. Aur main apne ungli se snap karke unka attention le sakta hoon. #Person1#: Cool. Thanks.",#Person1# ka yeh pehla bar visit hai. #Person1# ko tasteful decoration bahut pasand hai. Jimmy #Person1# se ticket maangta hai taaki woh #Person1# ke liye ek free drink le sake.
"#Person1#: Kya main aapki madad kar sakta hoon? #Person2#: Mujhe ek leather jacket chahiye. #Person1#: Kya size hai, please? #Person2#: Size 40. #Person1#: Aapko kaunsa color pasand hai? #Person2#: Thoda dekh loon. Kya aapko lagta hai brown theek rahega? #Person1#: Well, brown to sach mein khoobsurat hai, par mujhe lagta hai black aap par zyada suit karega. #Person2#: Sach mein? Kripya mujhe woh do. #Person1#: Kya aur kuch chahiye? #Person2#: Kya yeh dress pure silk se bani hai? #Person1#: Haan, yeh hai. Yeh brilliant hai. #Person2#: Kya yeh washable hai? #Person1#: Haan, yeh hai. Lekin aapko dhyan rakhna padega. #Person2#: Kitna, please? #Person1#: Sirf 350 yuan. #Person2#: Theek hai. Kya aap ise wrap kar denge? #Person1#: OK. Yeh lo.",#Person2# ek leather jacket aur ek pure silk ki dress kharidta hai #Person1# ke recommendation par.
"#Person1#: Maine suna hai ki aap log bahut achha service dete hain, toh jab mujhe mover ki zarurat hoti hai, main aap logon ko pehle call karta hoon. #Person2#: Humein call karne ke liye bahut shukriya. Kya aap mujhe bata sakte hain ki aapko humse kya karwana hai? #Person1#: Oh, aap dekh rahe hain, hum 8th floor par hain, aur 6th floor par dusre building mein shift ho rahe hain. Wahan tak pahunchne ke liye lagbhag 15 kilometers hai. #Person2#: Thik hai, cost is baat par depend karti hai ki kis floor par move karna hai, do jagahon ke beech ka distance aur furniture ki quantity kitni hai. #Person1#: Is case mein kitna kharcha hoga? #Person2#: Oh, mujhe dekhne do. Ye second standard rates mein aata hai. Kripya contract dekhiye. #Person1#: Aapka charge do parts mein divided hai, Payment in Advance aur baaki. Maine socha tha ki mujhe sab kuch moving se pehle pay kar dena chahiye. #Person2#: Nahi, pehle hum contract sign karte hain; aap 50% pay karte hain jo cost hai, aur baaki jab hum moving khatam karte hain. #Person1#: Damage aur compensation item mujhe confuse kar raha hai. Kya aap thoda explain kar sakte hain? #Person2#: Thik hai. Agar moving ke dauran kisi article ko damage hota hai, toh aap hamare department ke saath compensation ke liye claim kar sakte hain.",#Person1# #Person2# ko call karta hai kyunki #Person1# ko mover ki zarurat hai. #Person1# #Person2# ko batata hai ki unhe kya karwana hai aur cost puchhta hai. #Person2# contract dikhata hai aur cost aur compensation explain karta hai.
"#Person1#: Good morning, Sue. Kya tumne apni holiday ka maza liya country mein? #Person2#: Haan, thanks. Humne bohot accha time spend kiya. Aur kuch doston ne bhi humare saath aaya. #Person1#: Tumne kahan stay kiya? Koi hotel mein? #Person2#: Nahi. Hum mountains mein camp kiya, Snowdon ke paas. Humne apne saare meals open fire par cook kiye. #Person1#: Yeh toh bohot accha lag raha hai. Kya wahan ka weather accha tha? #Person2#: Har din suraj chamka aur bilkul barish nahi hui. #Person1#: Kya tumhe wahan ke log pasand aaye? #Person2#: Haan, woh bohot acche the. Humne kuch farmers se mile aur unke ghar chai pi. #Person1#: Tum kab wapas aaye? Kal raat? #Person2#: Nahi. Aaj subah. Tumhe lagega hum pagal hain. Hum 4:30 baje uthe, 5 baje nikle aur yahan 9 baje pahunche. Main bohot thaki hui hoon. Tumhara kya? Kya tumhara weekend accha raha? #Person1#: Haan, par maine zyada kuch nahi kiya. Main ghar par raha. Weather bohot kharab tha.","Sue ne country mein bohot accha holiday manaaya, aur wahan ka weather accha tha. #Person1# ne weekend par ghar par hi raha kyunki weather bohot kharab tha."
